Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 0, 0, 0.009, 0.009, 16.446, 16.437, 49311, 16.446, 20.239, 3.793, 4642, 0, 20.239, 34.792, 14.553, 43660,    34.783,
 1, 0, 3.1, 3.1, 20.149, 17.049, 11111, 20.149, 21.824, 1.675, 1111, 0, 21.824, 38.496, 16.672, 11111,    35.396,
 2, 0, 10.3, 10.3, 31.259, 20.959, 33331, 31.259, 34.267, 3.008, 3333, 0, 34.267, 49.606, 15.339, 33331,    39.306,
 3, 0, 13.3, 13.3, 46.073, 32.773, 44441, 46.073, 49.747, 3.674, 4444, 0, 49.747, 64.561, 14.813, 44441,    51.261,
 4, 0, 14.3, 14.3, 64.59, 50.29, 55551, 64.59, 68.931, 4.341, 5555, 0, 68.931, 87.447, 18.517, 55551,    73.147,
 5, 0, 33.3, 33.3, 86.81, 53.51, 66661, 86.81, 91.817, 5.008, 6666, 0, 91.817, 114.03, 22.213, 66661,    80.730,
#======================================
#Number of workloads:6
#Timeout workloads:0
#Timeout workloads per cent:0.0
#Over workloads:0
#Over workloads per cent:0.0
#Number of Cloudlets:12
#Over Cloudlets:0
#Over Cloudlets per cent:0.0
#Number of transmissions:6
#Over transmissions:6
#Over transmissions per cent:1.0
#======================================
#Total serve time:314.6231158063334
#CPU serve time:293.1245158063333
#Network serve time:21.49860000000004
#Average total serve time:52.43718596772223
#Average CPU serve time per workload:48.85408596772222
#Average network serve time per workload:3.5831000000000066
#Average CPU serve time per Cloudlet:24.42704298386111
#Average network serve time per transmission:3.5831000000000066
